metricsArray_1,metricsArray_2,metricsArray_3,metricsArray_4,metricsArray_5
-10.893204,66.621359,2.019417,1,2.36303798780125
-11.979381,60.061856,24.618557,1,2.01182590858114
-10,58.170213,-17.021277,1,2.3170063267171
-30.912281,58.105263,-5.684211,1,2.67787688924281
-28.057143,55.371429,13.257143,1,2.97212854287779
-6.571429,49.714286,10.619048,1,4.59041948380159
-14.494382,44.966292,42.696629,1,2.10051106322419
-43.009009,42.504505,10.414414,1,1.89841755303638
-31.128205,42.444444,30.358974,1,2.36736129023996
-0.272,42.128,-5.792,1,5.50713002068294
-44.606742,40.47191,-11.011236,1,1.37502506971041
-26.55,39.7,-15.65,1,3.95025759496494
-0.628571,39.638095,-22.4,1,1.56846459270669
-0.326531,32.040816,19.673469,1,8.0208421196627
-4.336634,26.158416,54.217822,1,4.52174982290848
-44.42623,24.393443,29.540984,1,1.82022625217754
-25.969231,24.369231,48.769231,1,4.41799094400683
-36.828283,23.333333,-8.888889,1,4.0747709092007
-51.372549,22.431373,7.686275,1,2.22259929061238
-1.191489,20.212766,-13.574468,1,2.86034596216011
-19.89011,18.571429,-20.747253,1,2.33373681567306
-44.627451,14.784314,-22.392157,1,2.31200709537575
-31.142857,13.12381,-37.295238,1,1.65990772539151
-35.935484,11.16129,5.333333,1,5.06107704796346
-41.968254,9.333333,47.555556,1,1.51437841395518
-13.020408,7.102041,66.734694,1,6.09292613496177
-49.674797,5.447154,29.560976,1,3.30981146267629
-46.607595,2.202532,-38.379747,1,2.28849810962266
-55.669565,0.956522,7.478261,1,2.95975261541143
-56.305882,-0.352941,-19.576471,1,2.42297487301301
-43.614679,-1.266055,-8,1,9.55507460048665
-29.865546,-1.596639,57.445378,1,5.77152077735425
-29.454545,-5.181818,-39.227273,1,2.52386455860764
-59.20354,-12.477876,27.681416,1,1.67035955463959
-41.486239,-12.972477,9.944954,1,11.5058496497826
-45.515152,-14.515152,44.606061,1,4.4388941664547
-19.708738,-15.203883,70.368932,1,6.1645035104129
-55.375,-16.1875,-30.875,1,1.37556523035406
-60.285714,-18,-11.346939,1,3.67226814433887
-36.042553,-22.297872,-25.617021,1,6.40227798112865
-0.327869,-22.754098,65.508197,1,8.03369368257426
-58.720721,-22.792793,8.828829,1,2.16787020117461
-40.137405,-24.351145,60.305344,1,2.7323833776197
-55.530435,-29.547826,43.408696,1,1.50733317934315
-42.626506,-30.626506,15.951807,1,11.2064197325724
-24.021053,-31.305263,65.642105,1,6.85194099208423
-23.787879,-34.212121,-12.727273,1,12.0001656928743
-60.836364,-35.2,-3.418182,1,3.67484681359013
-56.561798,-35.617978,-21.977528,1,1.78591851770926
-59.74359,-37.760684,24.068376,1,1.73622705369032
-7.876106,-38.070796,46.867257,1,16.9717782742065
-10.495238,-41.809524,68.72381,1,5.67105594531036
-37.206897,-43.655172,47.896552,1,8.24579184097958
-38.896,-46.096,-23.584,1,5.24026816095445
-0.871795,-48.632479,25.641026,1,23
-53.469388,-48.979592,42.938776,1,1.71682519988005
-28.407407,-50.777778,62.666667,1,5.20137567017631
-57.315315,-52.306306,7.603604,1,2.69335092687254
-11.182609,-54.730435,2.713043,1,14.0205909852067
-55.407407,-55.037037,-12.481481,1,3.00556788840589
-24.032787,-56.098361,-12.262295,1,8.09625624790121
-50.172414,-59.931034,23.689655,1,4.06144121947306
-10.972973,-61.459459,60.612613,1,7.02389052094753
-27.830508,-66.576271,48.677966,1,5.07957538178681
-43.892857,-66.714286,41.5,1,2.03455151710031
-8.778626,-67.801527,24.70229,1,12.4384319058919
-39.677419,-70.387097,-17.247312,1,2.07903387940429
-48.070175,-70.982456,0.385965,1,3.7482147563284
-8.991597,-73.630252,5.142857,1,10.7602190817468
-43.514563,-76.524272,17.825243,1,3.86465609506899
-19.761194,-76.925373,-14.537313,1,5.63754780272672
-10.168067,-77.193277,45.411765,1,7.46593298297987
-29.932773,-78.436975,33.579832,1,6.78392747539933
-36.784314,-87.921569,-4.039216,1,2.39843484356552
-28.208333,-89.833333,17.166667,1,6.71423524516285
-11.164557,-90.151899,29.316456,1,4.36902915987268
-18,-97.155556,-9.288889,1,2.32209501576704
-10.654545,-98.836364,9.2,1,3.43974717175784
11.242718,66.893204,1.980583,2,2.42149519961509
13.683168,60.336634,24.514851,2,2.28369203017439
10.530612,59.306122,-17.346939,2,2.50981090435863
28.730769,58.615385,11.538462,2,2.85784949716255
31.59292,57.292035,-7.433628,2,3.67531154143701
7.557895,47.852632,9.894737,2,5.20015005025329
15.377778,46,43.111111,2,2.0350293274648
31.344538,45.159664,28.336134,2,3.20553750827934
43.457627,44.677966,9.355932,2,3.60891964585906
0.444444,42.407407,33.444444,2,3.22713049548793
45.020408,39.55102,-11.265306,2,3.11227146302085
25.698925,38.344086,-16.258065,2,6.29116510552153
29.926606,29.009174,44.697248,2,3.2772115704225
46,28.846154,29.076923,2,1.47819679609344
52.285714,24.408163,6.897959,2,3.10470185570002
12.714286,24.333333,59.095238,2,4.261799743339
0.482759,22.655172,35.103448,2,9.75425756751996
37.340659,21.78022,-1.714286,2,7.81349879902206
16.065934,19.318681,-20.307692,2,2.3616884077096
39.666667,16.818182,-20.090909,2,5.98641924075247
31.663366,15.584158,-37.346535,2,2.14426850546622
29.76699,11.087379,56.660194,2,4.27542559344557
44.336,11.024,43.52,2,2.0171359084491
50.867925,9.622642,26.45283,2,3.31557102628069
0.730159,6.920635,39.015873,2,13.8043669343033
35.61039,5.376623,7.584416,2,5.86165653538214
46.697674,4.744186,-38.790698,2,2.53151334880219
57.568627,2.980392,6.392157,2,2.65326940813646
55.608247,2.701031,-21.360825,2,3.06159909356202
45.045872,0.825688,-7.412844,2,11.2653176473619
15.305263,0.694737,68.042105,2,6.32655841708946
0.323529,-1.676471,56.411765,2,9.79637303400494
29.526882,-2.860215,-40.516129,2,2.2044470781703
33.927928,-8.774775,59.603604,2,5.04754616995096
60.074074,-9.259259,28.148148,2,1.9637799552906
48.167939,-10.793893,44.549618,2,4.38603365997323
43.185185,-12.62963,9.407407,2,12.7405305520358
1.050847,-14.169492,43.254237,2,16.5847856503241
61.009901,-14.514851,-11.524752,2,3.50384224798043
55.226667,-14.853333,-31.68,2,1.83089923486658
36.571429,-20.734694,-26.612245,2,7.40124325862366
63.298246,-21.929825,7.508772,2,2.45076674303729
19.639344,-23.803279,69.409836,2,9.11243126809872
38.617886,-26.552846,59.121951,2,5.58005671594163
43.888889,-27,17.555556,2,12.5706527825758
55.538462,-27.692308,45.653846,2,1.79255413498674
0.555556,-29.166667,32.722222,2,21.1002305604547
52.628571,-29.257143,-1.6,2,9.0654751437714
59.858586,-31.090909,25.131313,2,2.24912183781893
59.274725,-31.714286,-20.087912,2,2.16096269852333
26.92562,-31.752066,-12.396694,2,13.5794461289061
33.043478,-36.782609,-28.086957,2,2.92789902069326
66.857143,-36.857143,-4.285714,2,1
8.92437,-39.344538,46.487395,2,19.3344547929956
38.350877,-40.947368,48.140351,2,9.51288713492051
11.781513,-41.596639,69.210084,2,6.93926408328613
57.370787,-44.202247,37.348315,2,1.83558784928131
30.136752,-47.025641,63.282051,2,6.20970530176188
57.881481,-48.696296,8.059259,2,4.34625834513672
56.831858,-50.389381,-13.380531,2,3.85821508350362
35.503356,-51.530201,-18.201342,2,8.62484115058844
14.307692,-52.265734,-0.223776,2,17.2874148168183
51.793103,-56.862069,24.137931,2,3.79243503462669
46.701754,-58.736842,44.140351,2,2.42297926656402
0.736842,-59.954887,42.015038,2,10.9326401868845
13.02439,-62.813008,23.154472,2,15.9677441896564
13.645161,-64.225806,59.516129,2,8.39362174382934
29.760684,-64.564103,49.57265,2,6.0701341442027
47.906542,-68.35514,-8.411215,2,2.14878352971583
46.928,-71.12,12.128,2,5.92289010006388
22.556291,-71.298013,-11.92053,2,6.7599398267897
9.833333,-73.266667,6.666667,2,10.4821652968648
36.363636,-73.848485,33.484848,2,7.0152056013812
14.823529,-79.088235,40.176471,2,9.01771530484158
29.567568,-86,21.261261,2,8.11857839640038
37.783784,-86.36036,-3.207207,2,2.13886310469782
0.126984,-87.047619,-5.904762,2,4.95889129896999
5.660377,-87.622642,22.754717,2,3.62389036607985
19.826087,-93.956522,-9.304348,2,2.92133552278348
16.438095,-97.542857,8.228571,2,3.75743121696772
